SetID,SweepID,gamma_fold,psi_change,gamma_M,psi_M,end_time,A1,M1,A2,M2
pHFC_S.pB10-low,1,-4,-0.4,1.61e-18,-0.11000000000000004,29,0,0,8680.276316570047,9.057465300206802e-8
pHFC_S.pB10-low,2,-3.8,-0.4,2.5516780398623934e-18,-0.11000000000000004,29,0,0,8680.276316567935,1.4355115096141104e-7
pHFC_S.pB10-low,3,-3.6,-0.4,4.044137154730422e-18,-0.11000000000000004,29,0,0,8680.276316564543,2.2751324195106578e-7
pHFC_S.pB10-low,4,-3.4,-0.4,6.409525445911306e-18,-0.11000000000000004,29,0,0,8680.276316559304,3.6058418841919074e-7
pHFC_S.pB10-low,5,-3.2,-0.4,1.0158413246131107e-17,-0.11000000000000004,29,0,0,8680.276316550908,5.714874256758274e-7
pHFC_S.pB10-low,6,-3,-0.4,1.61e-17,-0.11000000000000004,29,0,0,8680.276316537553,9.057465308852714e-7
pHFC_S.pB10-low,7,-2.8,-0.4,2.5516780398623933e-17,-0.11000000000000004,29,0,0,8680.276316516462,1.4355115117858537e-6
pHFC_S.pB10-low,8,-2.5999999999999996,-0.4,4.044137154730427e-17,-0.11000000000000004,29,0,0,8680.276316483043,2.2751324249658466e-6
pHFC_S.pB10-low,9,-2.4,-0.4,6.409525445911307e-17,-0.11000000000000004,29,0,0,8680.276316430023,3.6058418978947083e-6
pHFC_S.pB10-low,10,-2.2,-0.4,1.0158413246131108e-16,-0.11000000000000004,29,0,0,8680.276316346026,5.714874291178191e-6
pHFC_S.pB10-low,11,-2,-0.4,1.61e-16,-0.11000000000000004,29,0,0,8680.276316212918,9.05746539531156e-6
pHFC_S.pB10-low,12,-1.7999999999999998,-0.4,2.5516780398623935e-16,-0.11000000000000004,29,0,0,8680.276316001924,1.4355115335033486e-5
pHFC_S.pB10-low,13,-1.5999999999999996,-0.4,4.044137154730427e-16,-0.11000000000000004,29,0,0,8680.276315667512,2.275132479517701e-5
pHFC_S.pB10-low,14,-1.4,-0.4,6.409525445911308e-16,-0.11000000000000004,29,0,0,8680.276315137542,3.6058420349227634e-5
pHFC_S.pB10-low,15,-1.1999999999999995,-0.4,1.0158413246131116e-15,-0.11000000000000004,29,0,0,8680.27631429756,5.7148746353771384e-5
pHFC_S.pB10-low,16,-1,-0.4,1.61e-15,-0.11000000000000004,29,0,0,8680.276312966289,9.057466259900227e-5
pHFC_S.pB10-low,17,-0.7999999999999998,-0.4,2.551678039862394e-15,-0.11000000000000004,29,0,0,8680.276310856389,1.435511750678208e-4
pHFC_S.pB10-low,18,-0.5999999999999996,-0.4,4.044137154730427e-15,-0.11000000000000004,29,0,0,8680.27630751251,2.2751330250363384e-4
