SetID,SweepID,gamma_fold,psi_change,gamma_M,psi_M
pHFC_S.pB10-low,1,-4,-0.4,1.61e-18,-0.11000000000000004
pHFC_S.pB10-low,2,-3.8,-0.4,2.5516780398623938e-18,-0.11000000000000004
pHFC_S.pB10-low,3,-3.6,-0.4,4.044137154730423e-18,-0.11000000000000004
pHFC_S.pB10-low,4,-3.4,-0.4,6.409525445911307e-18,-0.11000000000000004
pHFC_S.pB10-low,5,-3.2,-0.4,1.0158413246131107e-17,-0.11000000000000004
pHFC_S.pB10-low,6,-3,-0.4,1.61e-17,-0.11000000000000004
pHFC_S.pB10-low,7,-2.8,-0.4,2.5516780398623936e-17,-0.11000000000000004
pHFC_S.pB10-low,8,-2.5999999999999996,-0.4,4.044137154730427e-17,-0.11000000000000004
pHFC_S.pB10-low,9,-2.4,-0.4,6.409525445911307e-17,-0.11000000000000004
pHFC_S.pB10-low,10,-2.2,-0.4,1.0158413246131107e-16,-0.11000000000000004
pHFC_S.pB10-low,11,-2,-0.4,1.61e-16,-0.11000000000000004
pHFC_S.pB10-low,12,-1.7999999999999998,-0.4,2.5516780398623935e-16,-0.11000000000000004
pHFC_S.pB10-low,13,-1.5999999999999996,-0.4,4.0441371547304273e-16,-0.11000000000000004
pHFC_S.pB10-low,14,-1.4,-0.4,6.409525445911307e-16,-0.11000000000000004
pHFC_S.pB10-low,15,-1.1999999999999997,-0.4,1.0158413246131116e-15,-0.11000000000000004
pHFC_S.pB10-low,16,-1,-0.4,1.61e-15,-0.11000000000000004
pHFC_S.pB10-low,17,-0.7999999999999998,-0.4,2.551678039862394e-15,-0.11000000000000004
pHFC_S.pB10-low,18,-0.5999999999999996,-0.4,4.044137154730427e-15,-0.11000000000000004
pHFC_S.pB10-low,19,-0.3999999999999999,-0.4,6.409525445911306e-15,-0.11000000000000004
pHFC_S.pB10-low,20,-0.19999999999999973,-0.4,1.0158413246131116e-14,-0.11000000000000004
pHFC_S.pB10-low,21,0,-0.4,1.61e-14,-0.11000000000000004
pHFC_S.pB10-low,22,0.20000000000000018,-0.4,2.5516780398623934e-14,-0.11000000000000004
pHFC_S.pB10-low,23,0.40000000000000036,-0.4,4.0441371547304276e-14,-0.11000000000000004
pHFC_S.pB10-low,24,0.6000000000000005,-0.4,6.409525445911313e-14,-0.11000000000000004
pHFC_S.pB10-low,25,0.8000000000000007,-0.4,1.0158413246131127e-13,-0.11000000000000004
pHFC_S.pB10-low,26,1,-0.4,1.61e-13,-0.11000000000000004
pHFC_S.pB10-low,27,1.2000000000000002,-0.4,2.5516780398623937e-13,-0.11000000000000004
pHFC_S.pB10-low,28,1.4000000000000004,-0.4,4.044137154730427e-13,-0.11000000000000004
pHFC_S.pB10-low,29,1.6000000000000005,-0.4,6.409525445911314e-13,-0.11000000000000004
pHFC_S.pB10-low,30,1.8000000000000007,-0.4,1.0158413246131127e-12,-0.11000000000000004
