SetID,SweepID,gamma_M,psi_M,end_time,A1,M1,A2,M2
pHFC_S.pB10_max,1,2.300000000000001e-18,-0.115,19.1,0,0,54065510.44507345,6.403260724700069e-6
pHFC_S.pB10_max,2,9.847064517054615e-18,-0.115,19.1,0,0,54065510.44496026,2.7414487623377612e-5
pHFC_S.pB10_max,3,4.215855634914608e-17,-0.115,19.1,0,0,54065510.4444747,1.1737053451948658e-4
pHFC_S.pB10_max,4,1.804947931808364e-16,-0.115,19.1,0,0,54065510.442396104,5.025022805841702e-4
pHFC_S.pB10_max,5,7.727582058452715e-16,-0.115,19.1,0,0,54065510.43349749,0.002151379449931578
pHFC_S.pB10_max,6,3.308434743061633e-15,-0.115,19.1,0,0,54065510.39540031,0.00921077339371322
pHFC_S.pB10_max,7,1.4164508854518591e-14,-0.115,19.1,0,0,54065510.23229266,0.03943443483876792
pHFC_S.pB10_max,8,6.06429706707982e-14,-0.115,19.1,0,0,54065509.53397275,0.16883288198883095
pHFC_S.pB10_max,9,2.596327150874785e-13,-0.115,19.1,0,0,54065506.54420361,0.7228472568858639
pHFC_S.pB10_max,10,1.1115739548715034e-12,-0.115,19.1,0,0,54065493.74345312,3.0950714488056237
pHFC_S.pB10_max,11,4.7590175865640196e-12,-0.115,19.1,0,0,54065438.92902997,13.256935281021184
pHFC_S.pB10_max,12,2.037493617943184e-11,-0.115,19.1,0,0,54065204.06394707,56.865764639157646
pHFC_S.pB10_max,13,8.723187438684151e-11,-0.115,19.1,0,0,54064195.10037282,245.46188734910373
pHFC_S.pB10_max,14,3.7346865001340517e-10,-0.115,19.1,0,0,54059811.52673121,1088.6479291318608
pHFC_S.pB10_max,15,1.5989434312083864e-9,-0.115,19.1,0,0,54039787.11516587,5445.515712828353
pHFC_S.pB10_max,16,6.845608315752023e-9,-0.115,19.1,0,0,53921851.83593048,49131.7487496587
pHFC_S.pB10_max,17,2.9308324671172054e-8,-0.115,19.1,0,0,49292304.510110795,7807200.991808929
pHFC_S.pB10_max,18,1.254786799668759e-7,-0.115,19.1,0,0,10907360.187246384,5514541.973386514
pHFC_S.pB10_max,19,5.372159378907281e-7,-0.115,19.1,0,0,2105331.798187595,1878227.6028611932
pHFC_S.pB10_max,20,2.300000000000001e-6,-0.115,19.1,0,0,455938.08402219025,1290780.9164022887
pHFC_S.pB10_max,21,2.300000000000001e-18,-0.05184210526315788,19.1,0,0,54065468.500646874,2.1133386974521796e-5
pHFC_S.pB10_max,22,9.847064517054615e-18,-0.05184210526315788,19.1,0,0,54065468.500519514,9.047905443207896e-5
pHFC_S.pB10_max,23,4.215855634914608e-17,-0.05184210526315788,19.1,0,0,54065468.49997472,3.873709086739728e-4
pHFC_S.pB10_max,24,1.804947931808364e-16,-0.05184210526315788,19.1,0,0,54065468.49764197,0.0016584636496428781
pHFC_S.pB10_max,25,7.727582058452715e-16,-0.05184210526315788,19.1,0,0,54065468.487655506,0.007100434668835461
pHFC_S.pB10_max,26,3.308434743061633e-15,-0.05184210526315788,19.1,0,0,54065468.444898896,0.030399330405418794
pHFC_S.pB10_max,27,1.4164508854518591e-14,-0.05184210526315788,19.1,0,0,54065468.26184446,0.13014981069804746
pHFC_S.pB10_max,28,6.06429706707982e-14,-0.05184210526315788,19.1,0,0,54065467.478125036,0.5572177637575281
pHFC_S.pB10_max,29,2.596327150874785e-13,-0.05184210526315788,19.1,0,0,54065464.12272523,2.385692434813411
pHFC_S.pB10_max,30,1.1115739548715034e-12,-0.05184210526315788,19.1,0,0,54065449.75647302,10.215004978449999
pHFC_S.pB10_max,31,4.7590175865640196e-12,-0.05184210526315788,19.1,0,0,54065388.23745696,43.753317299844674
pHFC_S.pB10_max,32,2.037493617943184e-11,-0.05184210526315788,19.1,0,0,54065124.628198355,187.68021945777687
pHFC_S.pB10_max,33,8.723187438684151e-11,-0.05184210526315788,19.1,0,0,54063991.87227707,810.1224837763496
pHFC_S.pB10_max,34,3.7346865001340517e-10,-0.05184210526315788,19.1,0,0,54059064.669826135,3592.935919763765
pHFC_S.pB10_max,35,1.5989434312083864e-9,-0.05184210526315788,19.1,0,0,54036440.088428065,17971.11336486677
pHFC_S.pB10_max,36,6.845608315752023e-9,-0.05184210526315788,19.1,0,0,53899877.879140764,162019.92445601104
pHFC_S.pB10_max,37,2.9308324671172054e-8,-0.05184210526315788,19.1,0,0,48292641.88992662,22626221.078501984
pHFC_S.pB10_max,38,1.254786799668759e-7,-0.05184210526315788,19.1,0,0,10582776.560656993,15168978.975803243
pHFC_S.pB10_max,39,5.372159378907281e-7,-0.05184210526315788,19.1,0,0,2083056.153450759,5875447.74493745
pHFC_S.pB10_max,40,2.300000000000001e-6,-0.05184210526315788,19.1,0,0,454685.9291110068,4207235.259319849
pHFC_S.pB10_max,41,2.300000000000001e-18,0.01131578947368422,19.1,0,0,54065416.53725282,6.974883223707649e-5
pHFC_S.pB10_max,42,9.847064517054615e-18,0.01131578947368422,19.1,0,0,54065416.537109286,2.986179355045514e-4
pHFC_S.pB10_max,43,4.215855634914608e-17,0.01131578947368422,19.1,0,0,54065416.53649363,0.0012784826471570864
pHFC_S.pB10_max,44,1.804947931808364e-16,0.01131578947368422,19.1,0,0,54065416.53385661,0.0054736092709068195
pHFC_S.pB10_max,45,7.727582058452715e-16,0.01131578947368422,19.1,0,0,54065416.52256856,0.023434342403737176
pHFC_S.pB10_max,46,3.308434743061633e-15,0.01131578947368422,19.1,0,0,54065416.47424082,0.10033024043150776
pHFC_S.pB10_max,47,1.4164508854518591e-14,0.01131578947368422,19.1,0,0,54065416.267332174,0.4295476781764031
pHFC_S.pB10_max,48,6.06429706707982e-14,0.01131578947368422,19.1,0,0,54065415.38148604,1.8390468255833967
pHFC_S.pB10_max,49,2.596327150874785e-13,0.01131578947368422,19.1,0,0,54065411.5888385,7.8737620180297965
pHFC_S.pB10_max,50,1.1115739548715034e-12,0.01131578947368422,19.1,0,0,54065395.35043461,33.71369850142676
pHFC_S.pB10_max,51,4.7590175865640196e-12,0.01131578947368422,19.1,0,0,54065325.81339651,144.40383876123457
pHFC_S.pB10_max,52,2.037493617943184e-11,0.01131578947368422,19.1,0,0,54065027.82640761,619.4210808193048
pHFC_S.pB10_max,53,8.723187438684151e-11,0.01131578947368422,19.1,0,0,54063746.96867668,2673.7264671470107
pHFC_S.pB10_max,54,3.7346865001340517e-10,0.01131578947368422,19.1,0,0,54058168.48970905,11857.96884311347
pHFC_S.pB10_max,55,1.5989434312083864e-9,0.01131578947368422,19.1,0,0,54032410.45880036,59306.83296758405
pHFC_S.pB10_max,56,6.845608315752023e-9,0.01131578947368422,19.1,0,0,53872832.50605656,534191.3917925428
pHFC_S.pB10_max,57,2.9308324671172054e-8,0.01131578947368422,19.1,0,0,47117493.15218513,64377107.292639196
pHFC_S.pB10_max,58,1.254786799668759e-7,0.01131578947368422,19.1,0,0,10265375.695521893,42005267.81538902
pHFC_S.pB10_max,59,5.372159378907281e-7,0.01131578947368422,19.1,0,0,2060774.8359527644,18401052.983294755
pHFC_S.pB10_max,60,2.300000000000001e-6,0.01131578947368422,19.1,0,0,453355.36546508217,13714092.957802419
pHFC_S.pB10_max,61,2.300000000000001e-18,0.07447368421052633,19.1,0,0,54065351.82087986,2.301996526082835e-4
pHFC_S.pB10_max,62,9.847064517054615e-18,0.07447368421052633,19.1,0,0,54065351.82071584,9.855612317934191e-4
pHFC_S.pB10_max,63,4.215855634914608e-17,0.07447368421052633,19.1,0,0,54065351.82001375,0.00421951524923556
pHFC_S.pB10_max,64,1.804947931808364e-16,0.07447368421052633,19.1,0,0,54065351.81700724,0.01806514764838819
pHFC_S.pB10_max,65,7.727582058452715e-16,0.07447368421052633,19.1,0,0,54065351.804136015,0.07734290750428649
pHFC_S.pB10_max,66,3.308434743061633e-15,0.07447368421052633,19.1,0,0,54065351.749030694,0.33113079816543506
pHFC_S.pB10_max,67,1.4164508854518591e-14,0.07447368421052633,19.1,0,0,54065351.513105296,1.4176828924034877
pHFC_S.pB10_max,68,6.06429706707982e-14,0.07447368421052633,19.1,0,0,54065350.503027864,6.069606121968055
pHFC_S.pB10_max,69,2.596327150874785e-13,0.07447368421052633,19.1,0,0,54065346.17849553,25.986632328124855
pHFC_S.pB10_max,70,1.1115739548715034e-12,0.07447368421052633,19.1,0,0,54065327.662724346,111.2689778409462
pHFC_S.pB10_max,71,4.7590175865640196e-12,0.07447368421052633,19.1,0,0,54065248.372017816,476.59157643777877
pHFC_S.pB10_max,72,2.037493617943184e-11,0.07447368421052633,19.1,0,0,54064908.562111296,2044.340713667556
pHFC_S.pB10_max,73,8.723187438684151e-11,0.07447368421052633,19.1,0,0,54063447.46353059,8824.352454516951
pHFC_S.pB10_max,74,3.7346865001340517e-10,0.07447368421052633,19.1,0,0,54057075.1581434,39135.38681393426
pHFC_S.pB10_max,75,1.5989434312083864e-9,0.07447368421052633,19.1,0,0,54027472.5670375,195716.1251430711
