SetID,SweepID,gamma_M,psi_M
pHFC_S.pB10_max,1,2.300000000000001e-18,-0.11499999999999999
pHFC_S.pB10_max,2,9.847064517054615e-18,-0.11499999999999999
pHFC_S.pB10_max,3,4.2158556349146083e-17,-0.11499999999999999
pHFC_S.pB10_max,4,1.8049479318083641e-16,-0.11499999999999999
pHFC_S.pB10_max,5,7.727582058452715e-16,-0.11499999999999999
pHFC_S.pB10_max,6,3.308434743061633e-15,-0.11499999999999999
pHFC_S.pB10_max,7,1.4164508854518591e-14,-0.11499999999999999
pHFC_S.pB10_max,8,6.06429706707982e-14,-0.11499999999999999
pHFC_S.pB10_max,9,2.5963271508747844e-13,-0.11499999999999999
pHFC_S.pB10_max,10,1.1115739548715034e-12,-0.11499999999999999
pHFC_S.pB10_max,11,4.7590175865640196e-12,-0.11499999999999999
pHFC_S.pB10_max,12,2.037493617943184e-11,-0.11499999999999999
pHFC_S.pB10_max,13,8.723187438684151e-11,-0.11499999999999999
pHFC_S.pB10_max,14,3.734686500134052e-10,-0.11499999999999999
pHFC_S.pB10_max,15,1.5989434312083866e-9,-0.11499999999999999
pHFC_S.pB10_max,16,6.845608315752023e-9,-0.11499999999999999
pHFC_S.pB10_max,17,2.930832467117205e-8,-0.11499999999999999
pHFC_S.pB10_max,18,1.254786799668759e-7,-0.11499999999999999
pHFC_S.pB10_max,19,5.372159378907281e-7,-0.11499999999999999
pHFC_S.pB10_max,20,2.300000000000001e-6,-0.11499999999999999
pHFC_S.pB10_max,21,2.300000000000001e-18,-0.051842105263157884
pHFC_S.pB10_max,22,9.847064517054615e-18,-0.051842105263157884
pHFC_S.pB10_max,23,4.2158556349146083e-17,-0.051842105263157884
pHFC_S.pB10_max,24,1.8049479318083641e-16,-0.051842105263157884
pHFC_S.pB10_max,25,7.727582058452715e-16,-0.051842105263157884
pHFC_S.pB10_max,26,3.308434743061633e-15,-0.051842105263157884
pHFC_S.pB10_max,27,1.4164508854518591e-14,-0.051842105263157884
pHFC_S.pB10_max,28,6.06429706707982e-14,-0.051842105263157884
pHFC_S.pB10_max,29,2.5963271508747844e-13,-0.051842105263157884
pHFC_S.pB10_max,30,1.1115739548715034e-12,-0.051842105263157884
pHFC_S.pB10_max,31,4.7590175865640196e-12,-0.051842105263157884
pHFC_S.pB10_max,32,2.037493617943184e-11,-0.051842105263157884
pHFC_S.pB10_max,33,8.723187438684151e-11,-0.051842105263157884
pHFC_S.pB10_max,34,3.734686500134052e-10,-0.051842105263157884
pHFC_S.pB10_max,35,1.5989434312083866e-9,-0.051842105263157884
pHFC_S.pB10_max,36,6.845608315752023e-9,-0.051842105263157884
pHFC_S.pB10_max,37,2.930832467117205e-8,-0.051842105263157884
pHFC_S.pB10_max,38,1.254786799668759e-7,-0.051842105263157884
pHFC_S.pB10_max,39,5.372159378907281e-7,-0.051842105263157884
pHFC_S.pB10_max,40,2.300000000000001e-6,-0.051842105263157884
