SetID,SweepID,gamma_fold,psi_change,gamma_M,psi_M,end_time,A1,M1,A2,M2,Anc,Mut,Anc_freq,Mut_freq,Mut_freq0,Mut_freq_change,Invasion
testmut,1,-2,-0.2,1.4e-16,0.19,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,2,-1.6,-0.2,3.5166410041134115e-16,0.19,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,3,-1.2,-0.2,8.833402822722709e-16,0.19,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,4,-0.7999999999999998,-0.2,2.2188504694455602e-15,0.19,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,5,-0.3999999999999999,-0.2,5.573500387748963e-15,0.19,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,6,0,-0.2,1.4e-14,0.19,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,7,0.4000000000000003,-0.2,3.5166410041134154e-14,0.19,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,8,0.8000000000000003,-0.2,8.833402822722711e-14,0.19,308,0,10000000,0,0,0,10000000,0,1,0.009900990099009901,Increase,Displaced
testmut,9,1.2000000000000002,-0.2,2.21885046944556e-13,0.19,308,0,10000000,0,0,0,10000000,0,1,0.009900990099009901,Increase,Displaced
testmut,10,1.6,-0.2,5.573500387748963e-13,0.19,231,0,0,0,10000000,0,10000000,0,1,0.009900990099009901,Increase,Displaced
testmut,11,2,-0.2,1.4e-12,0.19,231,0,0,0,10000000,0,10000000,0,1,0.009900990099009901,Increase,Displaced
testmut,12,-2,-0.16,1.4e-16,0.23,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,13,-1.6,-0.16,3.5166410041134115e-16,0.23,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,14,-1.2,-0.16,8.833402822722709e-16,0.23,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,15,-0.7999999999999998,-0.16,2.2188504694455602e-15,0.23,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,16,-0.3999999999999999,-0.16,5.573500387748963e-15,0.23,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,17,0,-0.16,1.4e-14,0.23,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,18,0.4000000000000003,-0.16,3.5166410041134154e-14,0.23,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
