SetID,SweepID,gamma_M,psi_M,end_time,A1,M1,A2,M2
pLFC_S.pB10-A,1,1.6100000000000009e-18,0.223,216,0,0,1000000673.8391287,2.7801526219964544e-16
pLFC_S.pB10-A,2,2.5819871774396386e-18,0.223,216,0,0,1000000673.8391287,4.458582872076099e-16
pLFC_S.pB10-A,3,4.140781232585533e-18,0.223,216,0,0,1000000673.8391287,7.150312926866139e-16
pLFC_S.pB10-A,4,6.6406484764712006e-18,0.223,216,0,0,1000000673.8391287,1.1467090875688212e-15
pLFC_S.pB10-A,5,1.0649732432380563e-17,0.223,216,0,0,1000000673.8391287,1.8389988602408967e-15
pLFC_S.pB10-A,6,1.7079175517745127e-17,0.223,216,0,0,1000000673.8391287,2.9492369493045204e-15
pLFC_S.pB10-A,7,2.7390193905626645e-17,0.223,216,0,0,1000000673.8391287,4.729746594392899e-15
pLFC_S.pB10-A,8,4.392616736143683e-17,0.223,216,0,0,1000000673.8391287,7.585183315563506e-15
pLFC_S.pB10-A,9,7.044521793869464e-17,0.223,216,0,0,1000000673.8391287,1.2164500783832743e-14
pLFC_S.pB10-A,10,1.1297431641593184e-16,0.223,216,0,0,1000000673.8391287,1.95084382391463e-14
pLFC_S.pB10-A,11,1.811790287987232e-16,0.223,216,0,0,1000000673.8391287,3.128604889805555e-14
pLFC_S.pB10-A,12,2.90560204459174e-16,0.223,216,0,0,1000000673.8391287,5.017402517716229e-14
pLFC_S.pB10-A,13,4.659768460793973e-16,0.223,216,0,0,1000000673.8391287,8.046503013364121e-14
pLFC_S.pB10-A,14,7.472958022116568e-16,0.223,216,0,0,1000000673.8391287,1.2904329120684442e-13
pLFC_S.pB10-A,15,1.198452285133524e-15,0.223,216,0,0,1000000673.8391287,2.0694918129496833e-13
pLFC_S.pB10-A,16,1.9219803931602427e-15,0.223,216,0,0,1000000673.8391287,3.318883747446361e-13
pLFC_S.pB10-A,17,3.082315981633628e-15,0.223,216,0,0,1000000673.8391287,5.322558483941944e-13
pLFC_S.pB10-A,18,4.943167913910141e-15,0.223,216,0,0,1000000673.8391287,8.535893003291743e-13
pLFC_S.pB10-A,19,7.927451037047843e-15,0.223,216,0,0,1000000673.8391287,1.3689187544471545e-12
pLFC_S.pB10-A,20,1.2713401818284578e-14,0.223,216,0,0,1000000673.8391287,2.195364764930853e-12
pLFC_S.pB10-A,21,2.0388720792825192e-14,0.223,216,0,0,1000000673.8391287,3.520758167131795e-12
pLFC_S.pB10-A,22,3.2697773696566185e-14,0.223,216,0,0,1000000673.8391287,5.6463329838648065e-12
pLFC_S.pB10-A,23,5.2438032556122537e-14,0.223,216,0,0,1000000673.8391287,9.055199788048775e-12
pLFC_S.pB10-A,24,8.40958556956964e-14,0.223,216,0,0,1000000673.8391287,1.4522173017684337e-11
pLFC_S.pB10-A,25,1.3486610005099518e-13,0.223,216,0,0,1000000673.8391287,2.328994245185581e-11
pLFC_S.pB10-A,26,2.1628729254842285e-13,0.223,216,0,0,1000000673.8391285,3.7351703930063114e-11
pLFC_S.pB10-A,27,3.468639850951326e-13,0.223,216,0,0,1000000673.8391296,5.990467990951746e-11
pLFC_S.pB10-A,28,5.562722744293475e-13,0.223,216,0,0,1000000673.8391293,9.607810871036189e-11
pLFC_S.pB10-A,29,8.921042731315306e-13,0.223,216,0,0,1000000673.8391291,1.5410245799437385e-10
pLFC_S.pB10-A,30,1.4306843442016897e-12,0.223,216,0,0,1000000673.8391296,2.471889498829286e-10
pLFC_S.pB10-A,31,2.2944152991878257e-12,0.223,216,0,0,1000000673.839128,3.96555210665819e-10
pLFC_S.pB10-A,32,3.6795968212573256e-12,0.223,216,0,0,1000000673.839129,6.363069835918931e-10
pLFC_S.pB10-A,33,5.901038391698202e-12,0.223,216,0,0,1000000673.8391274,1.0213429006592596e-9
pLFC_S.pB10-A,34,9.463605876362632e-12,0.223,216,0,0,1000000673.8391278,1.6402275221334317e-9
pLFC_S.pB10-A,35,1.5176962127397964e-11,0.223,216,0,0,1000000673.8391322,2.636343743532902e-9
pLFC_S.pB10-A,36,2.4339578636912142e-11,0.223,216,0,0,1000000673.8391287,4.24313575002281e-9
pLFC_S.pB10-A,37,3.903383847502539e-11,0.223,216,0,0,1000000673.8391283,6.844086350761942e-9
pLFC_S.pB10-A,38,6.259929840296021e-11,0.223,216,0,0,1000000673.839128,1.1078053989663578e-8
pLFC_S.pB10-A,39,1.0039166819451024e-10,0.223,216,0,0,1000000673.839128,1.8032828371284986e-8
pLFC_S.pB10-A,40,1.610000000000001e-10,0.223,216,0,0,1000000673.8391281,2.9623562836826465e-8
pLFC_S.pB10-A,41,1.6100000000000009e-18,0.2435128205128205,216,0,0,1000000673.8391299,2.48687946084485e-15
pLFC_S.pB10-A,42,2.5819871774396386e-18,0.2435128205128205,216,0,0,1000000673.8391299,3.988255206319696e-15
pLFC_S.pB10-A,43,4.140781232585533e-18,0.2435128205128205,216,0,0,1000000673.8391299,6.39603963312901e-15
pLFC_S.pB10-A,44,6.6406484764712006e-18,0.2435128205128205,216,0,0,1000000673.8391299,1.0257448655430977e-14
pLFC_S.pB10-A,45,1.0649732432380563e-17,0.2435128205128205,216,0,0,1000000673.8391299,1.64500626975147e-14
pLFC_S.pB10-A,46,1.7079175517745127e-17,0.2435128205128205,216,0,0,1000000673.8391299,2.6381273950072704e-14
pLFC_S.pB10-A,47,2.7390193905626645e-17,0.2435128205128205,216,0,0,1000000673.8391299,4.230814368798904e-14
pLFC_S.pB10-A,48,4.392616736143683e-17,0.2435128205128205,216,0,0,1000000673.8391299,6.785036348354108e-14
pLFC_S.pB10-A,49,7.044521793869464e-17,0.2435128205128205,216,0,0,1000000673.8391299,1.0881290081485074e-13
pLFC_S.pB10-A,50,1.1297431641593184e-16,0.2435128205128205,216,0,0,1000000673.8391299,1.7450529149458709e-13
pLFC_S.pB10-A,51,1.811790287987232e-16,0.2435128205128205,216,0,0,1000000673.8391299,2.798574143015557e-13
pLFC_S.pB10-A,52,2.90560204459174e-16,0.2435128205128205,216,0,0,1000000673.8391299,4.4881260004853357e-13
pLFC_S.pB10-A,53,4.659768460793973e-16,0.2435128205128205,216,0,0,1000000673.8391299,7.197692283955106e-13
pLFC_S.pB10-A,54,7.472958022116568e-16,0.2435128205128205,216,0,0,1000000673.8391299,1.154307529460992e-12
pLFC_S.pB10-A,55,1.198452285133524e-15,0.2435128205128205,216,0,0,1000000673.8391299,1.8511849469311884e-12
pLFC_S.pB10-A,56,1.9219803931602427e-15,0.2435128205128205,216,0,0,1000000673.8391299,2.9687808356827358e-12
pLFC_S.pB10-A,57,3.082315981633628e-15,0.2435128205128205,216,0,0,1000000673.8391299,4.761091627896118e-12
pLFC_S.pB10-A,58,4.943167913910141e-15,0.2435128205128205,216,0,0,1000000673.8391299,7.635457428452823e-12
pLFC_S.pB10-A,59,7.927451037047843e-15,0.2435128205128205,216,0,0,1000000673.8391299,1.2245140454034699e-11
pLFC_S.pB10-A,60,1.2713401818284578e-14,0.2435128205128205,216,0,0,1000000673.8391299,1.9637797938763578e-11
pLFC_S.pB10-A,61,2.0388720792825192e-14,0.2435128205128205,216,0,0,1000000673.8391318,3.149359896180108e-11
pLFC_S.pB10-A,62,3.2697773696566185e-14,0.2435128205128205,216,0,0,1000000673.8391303,5.05071175434594e-11
pLFC_S.pB10-A,63,5.2438032556122537e-14,0.2435128205128205,216,0,0,1000000673.8391298,8.099983500392816e-11
pLFC_S.pB10-A,64,8.40958556956964e-14,0.2435128205128205,216,0,0,1000000673.8391293,1.299025582952046e-10
pLFC_S.pB10-A,65,1.3486610005099518e-13,0.2435128205128205,216,0,0,1000000673.8391298,2.0833129472840915e-10
pLFC_S.pB10-A,66,2.1628729254842285e-13,0.2435128205128205,216,0,0,1000000673.8391325,3.341154172686745e-10
pLFC_S.pB10-A,67,3.468639850951326e-13,0.2435128205128205,216,0,0,1000000673.8391285,5.358544595506739e-10
pLFC_S.pB10-A,68,5.562722744293475e-13,0.2435128205128205,216,0,0,1000000673.8391298,8.594300661706808e-10
pLFC_S.pB10-A,69,8.921042731315306e-13,0.2435128205128205,216,0,0,1000000673.8391299,1.3784647455082172e-9
pLFC_S.pB10-A,70,1.4306843442016897e-12,0.2435128205128205,216,0,0,1000000673.83913,2.2111344447552747e-9
pLFC_S.pB10-A,71,2.2944152991878257e-12,0.2435128205128205,216,0,0,1000000673.8391324,3.5472333452246204e-9
pLFC_S.pB10-A,72,3.6795968212573256e-12,0.2435128205128205,216,0,0,1000000673.8391306,5.691841360727134e-9
pLFC_S.pB10-A,73,5.901038391698202e-12,0.2435128205128205,216,0,0,1000000673.8391312,9.136033260224296e-9
pLFC_S.pB10-A,74,9.463605876362632e-12,0.2435128205128205,216,0,0,1000000673.839131,1.4672029527736642e-8
pLFC_S.pB10-A,75,1.5176962127397964e-11,0.2435128205128205,216,0,0,1000000673.8391289,2.3582407150308815e-8
pLFC_S.pB10-A,76,2.4339578636912142e-11,0.2435128205128205,216,0,0,1000000673.8391305,3.795535202993239e-8
pLFC_S.pB10-A,77,3.903383847502539e-11,0.2435128205128205,216,0,0,1000000673.8391309,6.122116332869393e-8
pLFC_S.pB10-A,78,6.259929840296021e-11,0.2435128205128205,216,0,0,1000000673.839131,9.909450551563675e-8
pLFC_S.pB10-A,79,1.0039166819451024e-10,0.2435128205128205,216,0,0,1000000673.8391308,1.6130578639961764e-7
pLFC_S.pB10-A,80,1.610000000000001e-10,0.2435128205128205,216,0,0,1000000673.8391285,2.649862795027687e-7
pLFC_S.pB10-A,81,1.6100000000000009e-18,0.264025641025641,216,0,0,1000000673.8391283,2.2245431441412738e-14
pLFC_S.pB10-A,82,2.5819871774396386e-18,0.264025641025641,216,0,0,1000000673.8391283,3.567541537895896e-14
pLFC_S.pB10-A,83,4.140781232585533e-18,0.264025641025641,216,0,0,1000000673.8391283,5.721333236915044e-14
pLFC_S.pB10-A,84,6.6406484764712006e-18,0.264025641025641,216,0,0,1000000673.8391283,9.17540936023824e-14
pLFC_S.pB10-A,85,1.0649732432380563e-17,0.264025641025641,216,0,0,1000000673.8391283,1.471477599562408e-13
pLFC_S.pB10-A,86,1.7079175517745127e-17,0.264025641025641,216,0,0,1000000673.8391283,2.3598362133486675e-13
pLFC_S.pB10-A,87,2.7390193905626645e-17,0.264025641025641,216,0,0,1000000673.8391283,3.7845135827566954e-13
pLFC_S.pB10-A,88,4.392616736143683e-17,0.264025641025641,216,0,0,1000000673.8391283,6.069295407809119e-13
pLFC_S.pB10-A,89,7.044521793869464e-17,0.264025641025641,216,0,0,1000000673.8391283,9.733442907585401e-13
pLFC_S.pB10-A,90,1.1297431641593184e-16,0.264025641025641,216,0,0,1000000673.8391283,1.5609705091165908e-12
pLFC_S.pB10-A,91,1.811790287987232e-16,0.264025641025641,216,0,0,1000000673.8391283,2.5033577305356415e-12
pLFC_S.pB10-A,92,2.90560204459174e-16,0.264025641025641,216,0,0,1000000673.8391283,4.0146818861216524e-12
