SetID,SweepID,gamma_M,psi_M,end_time,A1,M1,A2,M2
pLFC_S.pB10,1,2.300000000000001e-16,0.08499999999999996,187.1,0,0,54119384.16475987,1.3459248936783743e-19
pLFC_S.pB10,2,2.6026700301408013e-16,0.08499999999999996,187.1,0,0,54119384.16475987,1.5230427811205394e-19
pLFC_S.pB10,3,2.9451701242578663e-16,0.08499999999999996,187.1,0,0,54119384.16475987,1.7234686163764467e-19
pLFC_S.pB10,4,3.3327417461182633e-16,0.08499999999999996,187.1,0,0,54119384.16475987,1.9502696247890033e-19
pLFC_S.pB10,5,3.771316113400474e-16,0.08499999999999996,187.1,0,0,54119384.16475987,2.2069166653852017e-19
pLFC_S.pB10,6,4.267604966319347e-16,0.08499999999999996,187.1,0,0,54119384.16475987,2.4973373473543233e-19
pLFC_S.pB10,7,4.829203281008418e-16,0.08499999999999996,187.1,0,0,54119384.16475987,2.8259761364340683e-19
pLFC_S.pB10,8,5.464705499538362e-16,0.08499999999999996,187.1,0,0,54119384.16475987,3.1978623710492898e-19
pLFC_S.pB10,9,6.183837055301761e-16,0.08499999999999996,187.1,0,0,54119384.16475987,3.618687229095602e-19
pLFC_S.pB10,10,6.997603206568712e-16,0.08499999999999996,187.1,0,0,54119384.16475987,4.0948908232389896e-19
pLFC_S.pB10,11,7.918457455892817e-16,0.08499999999999996,187.1,0,0,54119384.16475987,4.633760757605146e-19
pLFC_S.pB10,12,8.960492132781393e-16,0.08499999999999996,187.1,0,0,54119384.16475987,5.243543654136299e-19
pLFC_S.pB10,13,1.013965405621846e-15,0.08499999999999996,187.1,0,0,54119384.16475987,5.933571355375805e-19
pLFC_S.pB10,14,1.1473988577441476e-15,0.08499999999999996,187.1,0,0,54119384.16475987,6.71440373504791e-19
pLFC_S.pB10,15,1.2983915737689048e-15,0.08499999999999996,187.1,0,0,54119384.16475987,7.59799030196116e-19
pLFC_S.pB10,16,1.4692542767111578e-15,0.08499999999999996,187.1,0,0,54119384.16475987,8.597853070376212e-19
pLFC_S.pB10,17,1.6626017707184041e-15,0.08499999999999996,187.1,0,0,54119384.16475987,9.729293495437087e-19
pLFC_S.pB10,18,1.8813929568294783e-15,0.08499999999999996,187.1,0,0,54119384.16475987,1.1009626640557306e-18
pLFC_S.pB10,19,2.128976114633943e-15,0.08499999999999996,187.1,0,0,54119384.16475987,1.2458446160409174e-18
pLFC_S.pB10,20,2.409140142801455e-15,0.08499999999999996,187.1,0,0,54119384.16475987,1.4097924154769885e-18
pLFC_S.pB10,21,2.7261725426428152e-15,0.08499999999999996,187.1,0,0,54119384.16475987,1.5953150482146565e-18
pLFC_S.pB10,22,3.0849250320561607e-15,0.08499999999999996,187.1,0,0,54119384.16475987,1.805251672600279e-18
pLFC_S.pB10,23,3.490887793984226e-15,0.08499999999999996,187.1,0,0,54119384.16475987,2.0428150689789447e-18
pLFC_S.pB10,24,3.950273495646556e-15,0.08499999999999996,187.1,0,0,54119384.16475987,2.311640807029257e-18
pLFC_S.pB10,25,4.4701123643386024e-15,0.08499999999999996,187.1,0,0,54119384.16475987,2.6158428833903997e-18
pLFC_S.pB10,26,5.058359774793877e-15,0.08499999999999996,187.1,0,0,54119384.16475987,2.9600766810671196e-18
pLFC_S.pB10,27,5.7240179945764076e-15,0.08499999999999996,187.1,0,0,54119384.16475987,3.3496102141572908e-18
pLFC_S.pB10,28,6.47727395063942e-15,0.08499999999999996,187.1,0,0,54119384.16475987,3.790404748253182e-18
pLFC_S.pB10,29,7.32965512536559e-15,0.08499999999999996,187.1,0,0,54119384.16475987,4.289206030363604e-18
pLFC_S.pB10,30,8.29420596785084e-15,0.08499999999999996,187.1,0,0,54119384.16475987,4.853647524587881e-18
pLFC_S.pB10,31,9.385687520147943e-15,0.08499999999999996,187.1,0,0,54119384.16475987,5.4923672335267735e-18
pLFC_S.pB10,32,1.0620803313458947e-14,0.08499999999999996,187.1,0,0,54119384.16475987,6.21513989335921e-18
pLFC_S.pB10,33,1.2018454991286783e-14,0.08499999999999996,187.1,0,0,54119384.16475987,7.033026565824822e-18
pLFC_S.pB10,34,1.3600031571486191e-14,0.08499999999999996,187.1,0,0,54119384.16475987,7.95854391664052e-18
pLFC_S.pB10,35,1.5389736773945942e-14,0.08499999999999996,187.1,0,0,54119384.16475987,9.005855771218038e-18
pLFC_S.pB10,36,1.7414959423176028e-14,0.08499999999999996,187.1,0,0,54119384.16475987,1.0190989879558721e-17
pLFC_S.pB10,37,1.9706692594268857e-14,0.08499999999999996,187.1,0,0,54119384.16475987,1.153208320810019e-17
pLFC_S.pB10,38,2.2300007916652613e-14,0.08499999999999996,187.1,0,0,54119384.16475987,1.304965951299747e-17
pLFC_S.pB10,39,2.5234592294162764e-14,0.08499999999999996,187.1,0,0,54119384.16475987,1.4766943443521245e-17
pLFC_S.pB10,40,2.855535525514745e-14,0.08499999999999996,187.1,0,0,54119384.16475987,1.6710215983527358e-17
pLFC_S.pB10,41,3.231311622721561e-14,0.08499999999999996,187.1,0,0,54119384.16475987,1.890921667187339e-17
pLFC_S.pB10,42,3.656538225436091e-14,0.08499999999999996,187.1,0,0,54119384.16475987,2.1397598758915685e-17
pLFC_S.pB10,43,4.1377228058290185e-14,0.08499999999999996,187.1,0,0,54119384.16475987,2.421344426682623e-17
pLFC_S.pB10,44,4.682229191200541e-14,0.08499999999999996,187.1,0,0,54119384.16475987,2.7399846838826563e-17
pLFC_S.pB10,45,5.2983902566035e-14,0.08499999999999996,187.1,0,0,54119384.16475987,3.100557130065509e-17
pLFC_S.pB10,46,5.995635447326938e-14,0.08499999999999996,187.1,0,0,54119384.16475987,3.5085800032571954e-17
pLFC_S.pB10,47,6.784635082785909e-14,0.08499999999999996,187.1,0,0,54119384.16475987,3.970297758003086e-17
pLFC_S.pB10,48,7.67746365017768e-14,0.08499999999999996,187.1,0,0,54119384.16475987,4.492776643623065e-17
pLFC_S.pB10,49,8.687784586875151e-14,0.08499999999999996,187.1,0,0,54119384.16475987,5.084012863322816e-17
pLFC_S.pB10,50,9.831059379382231e-14,0.08499999999999996,187.1,0,0,54119384.16475987,5.753054970637592e-17
pLFC_S.pB10,51,1.1124784178805499e-13,0.08499999999999996,187.1,0,0,54119384.16475987,6.510142377919588e-17
pLFC_S.pB10,52,1.2588757553896352e-13,0.08499999999999996,187.1,0,0,54119384.16475987,7.366862098602591e-17
pLFC_S.pB10,53,1.4245383479232398e-13,0.08499999999999996,187.1,0,0,54119384.16475987,8.33632612459907e-17
pLFC_S.pB10,54,1.6120014195330892e-13,0.08499999999999996,187.1,0,0,54119384.16475987,9.43337215671641e-17
pLFC_S.pB10,55,1.824133818766601e-13,0.08499999999999996,187.1,0,0,54119384.16475987,1.0674790764312132e-16
pLFC_S.pB10,56,2.0641819222044014e-13,0.08499999999999996,187.1,0,0,54119384.16475987,1.2079582456086002e-16
pLFC_S.pB10,57,2.335819315512958e-13,0.08499999999999996,187.1,0,0,54119384.16475987,1.3669248603208374e-16
pLFC_S.pB10,58,2.6432030123085106e-13,0.08499999999999996,187.1,0,0,54119384.16475987,1.5468120676041123e-16
pLFC_S.pB10,59,2.9910370711796725e-13,0.08499999999999996,187.1,0,0,54119384.16475987,1.7503732844591776e-16
pLFC_S.pB10,60,3.3846445844345297e-13,0.08499999999999996,187.1,0,0,54119384.16475987,1.980724365973201e-16
pLFC_S.pB10,61,3.830049140254818e-13,0.08499999999999996,187.1,0,0,54119384.16475987,2.241391328750976e-16
pLFC_S.pB10,62,4.334067004916414e-13,0.08499999999999996,187.1,0,0,54119384.16475987,2.536364362440022e-16
pLFC_S.pB10,63,4.904411435790459e-13,0.08499999999999996,187.1,0,0,54119384.16475987,2.8701589590516896e-16
pLFC_S.pB10,64,5.549810721483299e-13,0.08499999999999996,187.1,0,0,54119384.16475987,3.2478850995865907e-16
pLFC_S.pB10,65,6.280141755547251e-13,0.08499999999999996,187.1,0,0,54119384.16475987,3.675325561904989e-16
pLFC_S.pB10,66,7.106581187912435e-13,0.08499999999999996,187.1,0,0,54119384.16475987,4.1590245548113945e-16
