SetID,SweepID,gamma_M,psi_M
pLFC_S.pB10,1,2.300000000000001e-18,-0.515
pLFC_S.pB10,2,2.6425873004308055e-18,-0.515
pLFC_S.pB10,3,3.0362033219122724e-18,-0.515
pLFC_S.pB10,4,3.488448843483127e-18,-0.515
pLFC_S.pB10,5,4.0080567878221905e-18,-0.515
pLFC_S.pB10,6,4.605060855175865e-18,-0.515
pLFC_S.pB10,7,5.290989275477722e-18,-0.515
pLFC_S.pB10,8,6.0790874200404395e-18,-0.515
pLFC_S.pB10,9,6.984573571481534e-18,-0.515
pLFC_S.pB10,10,8.024932790835599e-18,-0.515
pLFC_S.pB10,11,9.220254556466473e-18,-0.515
pLFC_S.pB10,12,1.0593620694633721e-17,-0.515
pLFC_S.pB10,13,1.2171551092704459e-17,-0.515
pLFC_S.pB10,14,1.3984515801793687e-17,-0.515
pLFC_S.pB10,15,1.6067523417606047e-17,-0.515
pLFC_S.pB10,16,1.846079710119143e-17,-0.515
pLFC_S.pB10,17,2.1210551293668994e-17,-0.515
pLFC_S.pB10,18,2.4369884123385152e-17,-0.515
pLFC_S.pB10,19,2.799980273801213e-17,-0.515
pLFC_S.pB10,20,3.217040136088657e-17,-0.515
pLFC_S.pB10,21,3.69622148200177e-17,-0.515
pLFC_S.pB10,22,4.246777368659741e-17,-0.515
pLFC_S.pB10,23,4.879339105294466e-17,-0.515
pLFC_S.pB10,24,5.606121545281112e-17,-0.515
pLFC_S.pB10,25,6.441158956622341e-17,-0.515
pLFC_S.pB10,26,7.400576025576725e-17,-0.515
pLFC_S.pB10,27,8.502899226548577e-17,-0.515
pLFC_S.pB10,28,9.769414570834861e-17,-0.515
pLFC_S.pB10,29,1.1224578642405202e-16,-0.515
pLFC_S.pB10,30,1.2896490857872586e-16,-0.515
pLFC_S.pB10,31,1.481743607005916e-16,-0.515
pLFC_S.pB10,32,1.7024507992906006e-16,-0.515
pLFC_S.pB10,33,1.9560325486146145e-16,-0.515
pLFC_S.pB10,34,2.247385553129696e-16,-0.515
pLFC_S.pB10,35,2.582135879074867e-16,-0.515
pLFC_S.pB10,36,2.96674760088261e-16,-0.515
pLFC_S.pB10,37,3.4086476233373796e-16,-0.515
pLFC_S.pB10,38,3.9163690961195666e-16,-0.515
pLFC_S.pB10,39,4.499716190089251e-16,-0.515
pLFC_S.pB10,40,5.169953417162081e-16,-0.515
pLFC_S.pB10,41,5.940023149570154e-16,-0.515
pLFC_S.pB10,42,6.82479553883441e-16,-0.515
pLFC_S.pB10,43,7.84135566041766e-16,-0.515
pLFC_S.pB10,44,9.009333428861303e-16,-0.515
pLFC_S.pB10,45,1.0351282654111127e-15,-0.515
pLFC_S.pB10,46,1.1893116558662542e-15,-0.515
pLFC_S.pB10,47,1.3664608165419598e-15,-0.515
pLFC_S.pB10,48,1.5699965218826478e-15,-0.515
pLFC_S.pB10,49,1.8038490741076674e-15,-0.515
pLFC_S.pB10,50,2.0725341978829594e-15,-0.515
pLFC_S.pB10,51,2.3812402395800227e-15,-0.515
pLFC_S.pB10,52,2.735928354951739e-15,-0.515
pLFC_S.pB10,53,3.143447619862612e-15,-0.515
pLFC_S.pB10,54,3.61166728687757e-15,-0.515
pLFC_S.pB10,55,4.149628741601758e-15,-0.515
pLFC_S.pB10,56,4.767720093069353e-15,-0.515
pLFC_S.pB10,57,5.4778767695451716e-15,-0.515
pLFC_S.pB10,58,6.293811993271735e-15,-0.515
pLFC_S.pB10,59,7.231281584660454e-15,-0.515
pLFC_S.pB10,60,8.30838820933171e-15,-0.515
pLFC_S.pB10,61,9.545930943056091e-15,-0.515
pLFC_S.pB10,62,1.0967806904743296e-14,-0.515
pLFC_S.pB10,63,1.2601472713066053e-14,-0.515
pLFC_S.pB10,64,1.4478474677510347e-14,-0.515
pLFC_S.pB10,65,1.66350579619121e-14,-0.515
pLFC_S.pB10,66,1.91128664835128e-14,-0.515
pLFC_S.pB10,67,2.195974706267856e-14,-0.515
pLFC_S.pB10,68,2.5230673351524793e-14,-0.515
pLFC_S.pB10,69,2.898880738263374e-14,-0.515
pLFC_S.pB10,70,3.330671923651434e-14,-0.515
pLFC_S.pB10,71,3.826778837975095e-14,-0.515
pLFC_S.pB10,72,4.3967813733871024e-14,-0.515
pLFC_S.pB10,73,5.0516863565580704e-14,-0.515
pLFC_S.pB10,74,5.804140091999964e-14,-0.515
pLFC_S.pB10,75,6.668672563930602e-14,-0.515
pLFC_S.pB10,76,7.661978012249745e-14,-0.515
pLFC_S.pB10,77,8.803237300587528e-14,-0.515
pLFC_S.pB10,78,1.0114488301396242e-13,-0.515
pLFC_S.pB10,79,1.1621051450272067e-13,-0.515
pLFC_S.pB10,80,1.3352018687018292e-13,-0.515
pLFC_S.pB10,81,1.534081522496927e-13,-0.515
pLFC_S.pB10,82,1.7625844996417098e-13,-0.515
pLFC_S.pB10,83,2.025123223778002e-13,-0.515
pLFC_S.pB10,84,2.3267673534622773e-13,-0.515
pLFC_S.pB10,85,2.673341677963655e-13,-0.515
pLFC_S.pB10,86,3.071538594738765e-13,-0.515
pLFC_S.pB10,87,3.5290473405390317e-13,-0.515
pLFC_S.pB10,88,4.054702471620674e-13,-0.515
pLFC_S.pB10,89,4.658654460230535e-13,-0.515
pLFC_S.pB10,90,5.35256570160895e-13,-0.515
pLFC_S.pB10,91,6.149835716431874e-13,-0.515
pLFC_S.pB10,92,7.06585989738202e-13,-0.515
pLFC_S.pB10,93,8.118326796280515e-13,-0.515
pLFC_S.pB10,94,9.327559692433907e-13,-0.515
pLFC_S.pB10,95,1.071690903792874e-12,-0.515
pLFC_S.pB10,96,1.2313203358044658e-12,-0.515
pLFC_S.pB10,97,1.4147267313735166e-12,-0.515
pLFC_S.pB10,98,1.6254516930033203e-12,-0.515
pLFC_S.pB10,99,1.867564348432323e-12,-0.515
pLFC_S.pB10,100,2.145739926045481e-12,-0.515
pLFC_S.pB10,101,2.4653500341717918e-12,-0.515
pLFC_S.pB10,102,2.8325663875735014e-12,-0.515
pLFC_S.pB10,103,3.2544799840995325e-12,-0.515
pLFC_S.pB10,104,3.739238032820726e-12,-0.515
pLFC_S.pB10,105,4.296201277747789e-12,-0.515
pLFC_S.pB10,106,4.936124755074325e-12,-0.515
pLFC_S.pB10,107,5.671365474391991e-12,-0.515
pLFC_S.pB10,108,6.516121034230435e-12,-0.515
pLFC_S.pB10,109,7.486703779620633e-12,-0.515
pLFC_S.pB10,110,8.601855795701247e-12,-0.515
pLFC_S.pB10,111,9.883110819937925e-12,-0.515
pLFC_S.pB10,112,1.1355210061529713e-11,-0.515
pLFC_S.pB10,113,1.304657995753158e-11,-0.515
pLFC_S.pB10,114,1.4989881091229573e-11,-0.515
pLFC_S.pB10,115,1.7222638872457006e-11,-0.515
pLFC_S.pB10,116,1.978796815837434e-11,-0.515
pLFC_S.pB10,117,2.273540580723886e-11,-0.515
pLFC_S.pB10,118,2.6121867241891374e-11,-0.515
pLFC_S.pB10,119,3.001274549433125e-11,-0.515
pLFC_S.pB10,120,3.44831739540791e-11,-0.515
pLFC_S.pB10,121,3.961947720417205e-11,-0.515
pLFC_S.pB10,122,4.552083796063184e-11,-0.515
pLFC_S.pB10,123,5.2301212304232465e-11,-0.515
pLFC_S.pB10,124,6.009153018795653e-11,-0.515
pLFC_S.pB10,125,6.904222371223836e-11,-0.515
pLFC_S.pB10,126,7.932613198933234e-11,-0.515
pLFC_S.pB10,127,9.114183869013404e-11,-0.515
pLFC_S.pB10,128,1.0471750672193962e-10,-0.515
pLFC_S.pB10,129,1.20315284085294e-10,-0.515
pLFC_S.pB10,130,1.3823636598761898e-10,-0.515
pLFC_S.pB10,131,1.5882681096373334e-10,-0.515
pLFC_S.pB10,132,1.824842233133424e-10,-0.515
pLFC_S.pB10,133,2.0966543089426935e-10,-0.515
pLFC_S.pB10,134,2.408953065306733e-10,-0.515
pLFC_S.pB10,135,2.7677690337884596e-10,-0.515
pLFC_S.pB10,136,3.1800309996587047e-10,-0.515
pLFC_S.pB10,137,3.6536997976845226e-10,-0.515
pLFC_S.pB10,138,4.197922036933791e-10,-0.515
pLFC_S.pB10,139,4.823206723043432e-10,-0.515
