SetID,SweepID,gamma_M,psi_M,end_time,A1,M1,A2,M2,log_gamma_M,Anc,Mut,Anc_freq,Mut_freq,Mut_freq0,Mut_freq_change,Mut_freq_inv,log_Mut_freq0,log_Mut_freq_change
pLFC_S.pB10_max,1,2.300000000000001e-18,-0.115,187.1,0,0,54119384.16476042,6.712989562183709e-32,-17.638272163982407,54119384.16476042,6.712989562183709e-32,1,1.240403908098208e-39,0.009900990099009901,-0.009900990099009901,Decrease,-2.0043213737826426,-36.902115500333124
pLFC_S.pB10_max,2,9.847064517054615e-18,-0.115,187.1,0,0,54119384.16476042,2.874053973139703e-31,-17.006693216613986,54119384.16476042,2.874053973139703e-31,1,5.3105814441457185e-39,0.009900990099009901,-0.009900990099009901,Decrease,-2.0043213737826426,-36.27053655256344
pLFC_S.pB10_max,3,4.215855634914608e-17,-0.115,187.1,0,0,54119384.16476042,1.230478043954548e-30,-16.375114269245564,54119384.16476042,1.230478043954548e-30,1,2.273636448279779e-38,0.009900990099009901,-0.009900990099009901,Decrease,-2.0043213737826426,-35.638957603477074
pLFC_S.pB10_max,4,1.8049479318083641e-16,-0.115,187.1,0,0,54119384.16476042,5.268085604714423e-30,-15.743535321877143,54119384.16476042,5.268085604714423e-30,1,9.734193553785323e-38,0.009900990099009901,-0.009900990099009901,Decrease,-2.0043213737826426,-35.00737864875355
pLFC_S.pB10_max,5,7.727582058452715e-16,-0.115,187.1,0,0,54119384.16476042,2.255442721405773e-29,-15.111956374508722,54119384.16476042,2.255442721405773e-29,1,4.167532125900268e-37,0.009900990099009901,-0.009900990099009901,Decrease,-2.0043213737826426,-34.37579966989549
pLFC_S.pB10_max,6,3.308434743061633e-15,-0.115,187.1,0,0,54119384.16476042,9.656302994206579e-29,-14.4803774271403,54119384.16476042,9.656302994206579e-29,1,1.7842595852179403e-36,0.009900990099009901,-0.009900990099009901,Decrease,-2.0043213737826426,-33.744220587709464
pLFC_S.pB10_max,7,1.4164508854518591e-14,-0.115,187.1,0,0,54119384.16476042,4.134189780636753e-28,-13.848798479771881,54119384.16476042,4.134189780636753e-28,1,7.639018522551318e-36,0.009900990099009901,-0.009900990099009901,Decrease,-2.0043213737826426,-33.112641063141886
pLFC_S.pB10_max,8,6.06429706707982e-14,-0.115,187.1,0,0,54119384.16476042,1.7699941364661108e-27,-13.21721953240346,54119384.16476042,1.7699941364661108e-27,1,3.270536359167653e-35,0.009900990099009901,-0.009900990099009901,Decrease,-2.0043213737826426,-32.481059644589116
pLFC_S.pB10_max,9,2.596327150874785e-13,-0.115,187.1,0,0,54119384.16476042,7.578117853185101e-27,-12.585640585035039,54119384.16476042,7.578117853185101e-27,1,1.4002594394116475e-34,0.009900990099009901,-0.009900990099009901,Decrease,-2.0043213737826426,-31.849470117206113
pLFC_S.pB10_max,10,1.1115739548715034e-12,-0.115,187.1,0,0,54119384.16476042,3.244782566391053e-26,-11.954061637666618,54119384.16476042,3.244782566391053e-26,1,5.995601421687791e-34,0.009900990099009901,-0.009900990099009901,Decrease,-2.0043213737826426,-31.217845872307162
