SetID,SweepID,gamma_M,psi_M
pLFCi2_S.pB10,1,1.5600000000000017e-16,0.07599999999999996
pLFCi2_S.pB10,2,1.7652892378346319e-16,0.07599999999999996
pLFCi2_S.pB10,3,1.9975936494966407e-16,0.07599999999999996
pLFCi2_S.pB10,4,2.260468314758476e-16,0.07599999999999996
pLFCi2_S.pB10,5,2.557936146480323e-16,0.07599999999999996
pLFCi2_S.pB10,6,2.8945494554166024e-16,0.07599999999999996
pLFCi2_S.pB10,7,3.2754596166839724e-16,0.07599999999999996
pLFCi2_S.pB10,8,3.706495904034718e-16,0.07599999999999996
pLFCi2_S.pB10,9,4.1942546983785883e-16,0.07599999999999996
pLFCi2_S.pB10,10,4.746200435759651e-16,0.07599999999999996
pLFCi2_S.pB10,11,5.370779839649044e-16,0.07599999999999996
pLFCi2_S.pB10,12,6.0775511857126e-16,0.07599999999999996
pLFCi2_S.pB10,13,6.877330577261221e-16,0.07599999999999996
pLFCi2_S.pB10,14,7.782357469916832e-16,0.07599999999999996
pLFCi2_S.pB10,15,8.806481978606489e-16,0.07599999999999996
pLFCi2_S.pB10,16,9.965376833345251e-16,0.07599999999999996
pLFCi2_S.pB10,17,1.1276777227481356e-15,0.07599999999999996
pLFCi2_S.pB10,18,1.2760752228930382e-15,0.07599999999999996
pLFCi2_S.pB10,19,1.4440011907951968e-15,0.07599999999999996
pLFCi2_S.pB10,20,1.6340254881609878e-15,0.07599999999999996
pLFCi2_S.pB10,21,1.8490561593577367e-15,0.07599999999999996
pLFCi2_S.pB10,22,2.0923839347859193e-15,0.07599999999999996
pLFCi2_S.pB10,23,2.367732590702346e-15,0.07599999999999996
pLFCi2_S.pB10,24,2.679315936177666e-15,0.07599999999999996
pLFCi2_S.pB10,25,3.0319022992905322e-15,0.07599999999999996
pLFCi2_S.pB10,26,3.4308874994254143e-15,0.07599999999999996
pLFCi2_S.pB10,27,3.882377422408349e-15,0.07599999999999996
pLFCi2_S.pB10,28,4.3932814621728274e-15,0.07599999999999996
pLFCi2_S.pB10,29,4.97141825894362e-15,0.07599999999999996
pLFCi2_S.pB10,30,5.62563535210753e-15,0.07599999999999996
pLFCi2_S.pB10,31,6.365944578882956e-15,0.07599999999999996
pLFCi2_S.pB10,32,7.203675290867813e-15,0.07599999999999996
pLFCi2_S.pB10,33,8.151647733220607e-15,0.07599999999999996
pLFCi2_S.pB10,34,9.224369239790638e-15,0.07599999999999996
pLFCi2_S.pB10,35,1.0438256246676382e-14,0.07599999999999996
pLFCi2_S.pB10,36,1.1811885521806356e-14,0.07599999999999996
pLFCi2_S.pB10,37,1.3366278455243234e-14,0.07599999999999996
pLFCi2_S.pB10,38,1.5125222760860044e-14,0.07599999999999996
pLFCi2_S.pB10,39,1.711563651256258e-14,0.07599999999999996
pLFCi2_S.pB10,40,1.9367980086100026e-14,0.07599999999999996
pLFCi2_S.pB10,41,2.191672231063321e-14,0.07599999999999996
